Trial (NCT),Condition,Arm,Any AE %,Serious AE %,AE leading to discontinuation %,CT.gov last updated,Trial start date,Trial completion date
NCT01099631,"Cancer of the Liver; Liver Cancer; Hepatoma; Liver Neoplasms; Biliary Cancer; Liver Neoplasms; Carcinoma, Hepatocellular; Biliary Tract Neoplasms",Salmonella Typhimurium 10 to the 10 th - Level 6,100.0,25.0,,2020-07-20,2010-04,2014-06
NCT01099631,"Cancer of the Liver; Liver Cancer; Hepatoma; Liver Neoplasms; Biliary Cancer; Liver Neoplasms; Carcinoma, Hepatocellular; Biliary Tract Neoplasms",Salmonella Typhimurium 10 to the 5 th - Level 1,66.66666666666666,33.33333333333333,,2020-07-20,2010-04,2014-06
NCT01099631,"Cancer of the Liver; Liver Cancer; Hepatoma; Liver Neoplasms; Biliary Cancer; Liver Neoplasms; Carcinoma, Hepatocellular; Biliary Tract Neoplasms",Salmonella Typhimurium 10 to the 6 th - Level 2,66.66666666666666,33.33333333333333,,2020-07-20,2010-04,2014-06
NCT01099631,"Cancer of the Liver; Liver Cancer; Hepatoma; Liver Neoplasms; Biliary Cancer; Liver Neoplasms; Carcinoma, Hepatocellular; Biliary Tract Neoplasms",Salmonella Typhimurium 10 to the 7 th - Level 3,100.0,100.0,,2020-07-20,2010-04,2014-06
NCT01099631,"Cancer of the Liver; Liver Cancer; Hepatoma; Liver Neoplasms; Biliary Cancer; Liver Neoplasms; Carcinoma, Hepatocellular; Biliary Tract Neoplasms",Salmonella Typhimurium 10 to the 8 th - Level 4,100.0,100.0,,2020-07-20,2010-04,2014-06
NCT01099631,"Cancer of the Liver; Liver Cancer; Hepatoma; Liver Neoplasms; Biliary Cancer; Liver Neoplasms; Carcinoma, Hepatocellular; Biliary Tract Neoplasms",Salmonella Typhimurium 10 to the 9 th - Level 5,66.66666666666666,66.66666666666666,,2020-07-20,2010-04,2014-06
NCT04283994,"Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure, Congestive; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Disease; Diabetes With End Organ Injury; Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Diseases",Clinicians,0.0,0.0,,2025-06-24,2021-07-26,2025-01-27
NCT04283994,"Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure, Congestive; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Disease; Diabetes With End Organ Injury; Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Diseases",EHR-based Clinician-facing Jumpstart [Family],0.0,0.0,,2025-06-24,2021-07-26,2025-01-27
NCT04283994,"Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure, Congestive; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Disease; Diabetes With End Organ Injury; Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Diseases",EHR-based Clinician-facing Jumpstart [Patient],0.0,0.0,,2025-06-24,2021-07-26,2025-01-27
NCT04283994,"Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure, Congestive; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Disease; Diabetes With End Organ Injury; Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Diseases",Survey-based Bi-directional Jumpstart [Family],0.0,0.0,,2025-06-24,2021-07-26,2025-01-27
NCT04283994,"Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure, Congestive; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Disease; Diabetes With End Organ Injury; Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Diseases",Survey-based Bi-directional Jumpstart [Patient],0.0,0.0,,2025-06-24,2021-07-26,2025-01-27
NCT04283994,"Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure, Congestive; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Disease; Diabetes With End Organ Injury; Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Diseases",Usual Care [Family],0.0,0.0,,2025-06-24,2021-07-26,2025-01-27
NCT04283994,"Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure, Congestive; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Disease; Diabetes With End Organ Injury; Dementia; Chronic Disease; Neoplasm Metastasis; Lung Neoplasms; Pulmonary Disease, Chronic Obstructive; Heart Failure; Liver Cirrhosis; Kidney Failure, Chronic; Lung Diseases, Interstitial; Peripheral Vascular Diseases",Usual Care [Patient],0.0,0.0,,2025-06-24,2021-07-26,2025-01-27
NCT02762266,"Child-Pugh Class A; Child-Pugh Class B; Recurrent Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Stereotactic Body Radiation Therapy (SBRT),100.0,16.666666666666664,,2024-03-12,2016-02-27,2022-12-31
NCT02762266,"Child-Pugh Class A; Child-Pugh Class B; Recurrent Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Transarterial Chemoembolization (TACE),100.0,0.0,,2024-03-12,2016-02-27,2022-12-31
NCT04945720,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Study Group,100.0,26.666666666666668,,2026-02-25,2022-04-11,2024-07-05
NCT03029988,Liver Metastases; Colorectal Carcinoma; Colorectal Neoplasms; Adenocarcinoma,Cohort 1,66.66666666666666,0.0,,2020-09-10,2017-07-26,2018-09-24
NCT00024258,"Brain and Central Nervous System Tumors; Childhood Germ Cell Tumor; Extragonadal Germ Cell Tumor; Kidney Cancer; Liver Cancer; Neuroblastoma; Ovarian Cancer; Retinoblastoma; Sarcoma; Central Nervous System Neoplasms; Kidney Neoplasms; Liver Neoplasms; Neuroblastoma; Ovarian Neoplasms; Retinoblastoma; Sarcoma; Osteosarcoma; Hepatoblastoma; Wilms Tumor; Desmoplastic Small Round Cell Tumor; Medulloblastoma; Neuroectodermal Tumors, Primitive, Peripheral; Teratoma; Testicular Neoplasms; Ovarian Germ Cell Cancer",Arsenic Trioxide,63.63636363636363,54.54545454545454,,2015-11-25,2001-03,2009-05
NCT02112656,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular; Carcinoma; Neoplasms, Glandular and Epithelial; Neoplasms by Histologic Type; Neoplasms; Adenocarcinoma; Liver Neoplasms; Digestive System Neoplasms; Neoplasms by Site; Digestive System Diseases; Liver Diseases",Dummy Infusion,79.12087912087912,12.087912087912088,,2024-08-20,2014-06,2020-04-27
NCT02112656,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular; Carcinoma; Neoplasms, Glandular and Epithelial; Neoplasms by Histologic Type; Neoplasms; Adenocarcinoma; Liver Neoplasms; Digestive System Neoplasms; Neoplasms by Site; Digestive System Diseases; Liver Diseases",ThermoDox 50 mg/m2,96.71532846715328,26.642335766423358,,2024-08-20,2014-06,2020-04-27
NCT02670122,"Hepatocellular Carcinoma; Carcinoma, Hepatocellular",Adverse Events,22.137404580152673,6.870229007633588,,2021-03-30,2015-03,2018-11-30
NCT02216773,Liver Resection; Cancer; Neoplasms,Portal Vein Embolization (PVE),54.166666666666664,4.166666666666666,,2019-11-07,2015-07,2018-04
NCT02216773,Liver Resection; Cancer; Neoplasms,Radiofrequency Assisted Liver Partition and Ligation (RALPPS),38.46153846153847,15.384615384615385,,2019-11-07,2015-07,2018-04
NCT00427973,"Adult Primary Hepatocellular Carcinoma; Advanced Adult Primary Liver Cancer; Localized Unresectable Adult Primary Liver Cancer; Recurrent Adult Primary Liver Cancer; Carcinoma, Hepatocellular",Singe Arm Open Label Study With AZD2171 at 30 mg Daily,100.0,29.411764705882355,,2016-10-31,2009-05,2012-03
