Trial (NCT),Condition,Arm,Interventions,OS median,OS 95% CI low,OS 95% CI high,OS N,PFS median,PFS 95% CI low,PFS 95% CI high,PFS N,ORR %,CT.gov last updated
NCT03179436,"Parkinson Disease 4, Autosomal Dominant Lewy Body",Arm E: MK-1308 75 mg Q3W + Pembro. 200 mg Q3W,"Quavonlimab, Pembrolizumab, Pembrolizumab/Quavonlimab",,,,,,,,,,2025-04-08
NCT03179436,"Parkinson Disease 4, Autosomal Dominant Lewy Body",Arm F: MK-1308 25 mg Q6W + Pembro. 400 mg Q6W Co-admin,"Quavonlimab, Pembrolizumab, Pembrolizumab/Quavonlimab",,,,,,,,,4.9,2025-04-08
NCT03179436,"Parkinson Disease 4, Autosomal Dominant Lewy Body",Arm F: MK-1308 25 mg Q6W + Pembro. 400 mg Q6W Co-admin After Crossover,"Quavonlimab, Pembrolizumab, Pembrolizumab/Quavonlimab",,,,,,,,,,2025-04-08
NCT03179436,"Parkinson Disease 4, Autosomal Dominant Lewy Body",Arm G: MK-1308 25 mg Q6W,"Quavonlimab, Pembrolizumab, Pembrolizumab/Quavonlimab",,,,,,,,,2.5,2025-04-08
NCT03179436,"Parkinson Disease 4, Autosomal Dominant Lewy Body",Arm I: MK-1308A Q6W (Co-form),"Quavonlimab, Pembrolizumab, Pembrolizumab/Quavonlimab",,,,,,,,,,2025-04-08
NCT03179436,"Parkinson Disease 4, Autosomal Dominant Lewy Body",Arm K: MK-1308A Q6W (Co-form),"Quavonlimab, Pembrolizumab, Pembrolizumab/Quavonlimab",,,,,,,,,,2025-04-08
NCT03179436,"Parkinson Disease 4, Autosomal Dominant Lewy Body",Cohort 1: MK-1308 25 mg Q3W + Pembro. 200 mg Q3W,"Quavonlimab, Pembrolizumab, Pembrolizumab/Quavonlimab",,,,,,,,,,2025-04-08
NCT03179436,"Parkinson Disease 4, Autosomal Dominant Lewy Body",Cohort 2: MK-1308 75 mg Q3W + Pembro. 200 mg Q3W,"Quavonlimab, Pembrolizumab, Pembrolizumab/Quavonlimab",,,,,,,,,,2025-04-08
NCT03179436,"Parkinson Disease 4, Autosomal Dominant Lewy Body",Cohort 3: MK-1308 200 mg Q3W + Pembro. 200 mg Q3W,"Quavonlimab, Pembrolizumab, Pembrolizumab/Quavonlimab",,,,,,,,,,2025-04-08
NCT02935634,,Track 1: Ipilimumab + Rucaparib,"Nivolumab, Ipilimumab, Relatlimab, BMS-986205, Rucaparib",,,,,,,,,0.0,2023-06-09
NCT02935634,,Track 1: Nivolumab + BMS-986016,"Nivolumab, Ipilimumab, Relatlimab, BMS-986205, Rucaparib",,,,,,,,,5.0,2023-06-09
NCT02935634,,Track 1: Nivolumab + BMS-986205,"Nivolumab, Ipilimumab, Relatlimab, BMS-986205, Rucaparib",,,,,,,,,13.2,2023-06-09
NCT02935634,,Track 1: Nivolumab + Ipilimumab,"Nivolumab, Ipilimumab, Relatlimab, BMS-986205, Rucaparib",,,,,,,,,4.3,2023-06-09
NCT02935634,,Track 1: Nivolumab + Ipilimumab + Rucaparib,"Nivolumab, Ipilimumab, Relatlimab, BMS-986205, Rucaparib",,,,,,,,,16.7,2023-06-09
NCT02935634,,Track 1: Nivolumab + Rucaparib,"Nivolumab, Ipilimumab, Relatlimab, BMS-986205, Rucaparib",,,,,,,,,0.0,2023-06-09
NCT02935634,,Track 2: Ipilimumab + Rucaparib,"Nivolumab, Ipilimumab, Relatlimab, BMS-986205, Rucaparib",,,,,,,,,0.0,2023-06-09
NCT02935634,,Track 2: Nivolumab + BMS-986016,"Nivolumab, Ipilimumab, Relatlimab, BMS-986205, Rucaparib",,,,,,,,,5.6,2023-06-09
NCT02935634,,Track 2: Nivolumab + BMS-986205,"Nivolumab, Ipilimumab, Relatlimab, BMS-986205, Rucaparib",,,,,,,,,0.0,2023-06-09
NCT02935634,,Track 2: Nivolumab + Ipilimumab,"Nivolumab, Ipilimumab, Relatlimab, BMS-986205, Rucaparib",,,,,,,,,8.7,2023-06-09
NCT02935634,,Track 2: Nivolumab + Ipilimumab + Rucaparib,"Nivolumab, Ipilimumab, Relatlimab, BMS-986205, Rucaparib",,,,,,,,,0.0,2023-06-09
NCT02935634,,Track 2: Nivolumab + Rucaparib,"Nivolumab, Ipilimumab, Relatlimab, BMS-986205, Rucaparib",,,,,,,,,0.0,2023-06-09
NCT00324155,Melanoma,Ipilimumab and Dacarbazine,"Ipilimumab, Placebo, Dacarbazine",11.17,9.4,13.6,250.0,2.76,2.63,3.29,250.0,15.2,2014-11-03
NCT00324155,Melanoma,Placebo and Dacarbazine,"Ipilimumab, Placebo, Dacarbazine",9.07,7.75,10.51,252.0,2.6,2.56,2.66,252.0,10.3,2014-11-03
